name,name_jp,city,prefecture,primary_cat,price_tier,description,distinctive,source_url
Ryokan Kurashiki,旅館くらしき,Kurashiki,Okayama,machiya_kominka,luxury,Eight-room ryokan occupying converted Edo-period sugar-wholesaler houses on canal.,Stay inside connected white-walled merchant homes in Bikan Historical Quarter,https://www.ryokan-kurashiki.jp/
Azumi Setoda,AZUMI瀬戸田,Onomichi,Hiroshima,machiya_kominka,luxury,Contemporary ryokan opened 2021 in 1876 Horiuchi merchant mansion on Ikuchijima.,"First hotel by Aman-founder Adrian Zecha, restored by Shiro Miura, yubune bathhouse",https://azumi.co/setoda
LOG,LOG,Onomichi,Hiroshima,design_hotel,luxury,Avant-garde retreat transforming 1963 apartment by Studio Mumbai's Bijoy Jain.,"All walls floors ceilings covered in gleaming washi paper, only 6 rooms",https://log-on.com/
Iwaso Ryokan,岩惣,Hatsukaichi,Hiroshima,onsen_ryokan,luxury,Miyajima's iconic inn first opened 1854 in Momijidani Park.,"Hanare cottages integrated with maple forest and mountain stream, tatami-only policy",https://www.iwaso.com/
Sekitei,庭園の宿 石亭,Hatsukaichi,Hiroshima,onsen_ryokan,luxury,Onsen ryokan on shore opposite Miyajima with nationally ranked garden.,"All 12 rooms are separate houses, hillside garden with Inland Sea views",http://www.sekitei.to/
Ohtani Sanso,大谷山荘,Nagato,Yamaguchi,onsen_ryokan,luxury,Luxury onsen ryokan in Nagato-Yumoto established 1881.,"Five distinct baths, private rotenburo suites, astronomical observatory dome",https://otanisanso.co.jp/
Benesse House,ベネッセハウス,Naoshima,Kagawa,design_hotel,luxury,Museum-hotel hybrid designed by Tadao Ando where art museum and hotel are one.,"Overnight inside working contemporary art museum, after-hours access",https://benesse-artsite.jp/
Chiiori,篪庵,Miyoshi,Tokushima,machiya_kominka,mid,300-year-old thatched minka c.1720 in Iya Valley purchased by Alex Kerr in 1973.,"Original irori hearths and soot-blackened pine floors, center of Chiiori Trust",https://www.chiiori.org/
Anrakuji Temple Shukubo,安楽寺,Kamiita,Tokushima,temple_stay,budget,Temple lodging at Shikoku Pilgrimage Temple 6 with hot spring.,"Join free night prayer, shojin ryori, founded by Kobo Daishi for healing",https://anrakuji.jp/
Snow Peak Ochi Niyodogawa Campfield,スノーピークおち仁淀川,Ochi,Kochi,glamping,mid,Riverside campground on Japan's clearest river with Kengo Kuma Jyubako cabins.,"Design-forward glamping, kayaking and rafting, eco-practices",https://www.snowpeak.co.jp/
Naoshima Ryokan Roka,直島旅館 ろ霞,Naoshima,Kagawa,onsen_ryokan,luxury,All-suite ryokan opened 2022 steps from Ando Museum.,"Private open-air baths in every suite, rotating emerging-artist exhibitions",https://roka.voyage/
Kuroshio Honjin,黒潮本陣,Nakatosa,Kochi,onsen_ryokan,mid,Seaside onsen ryokan in bonito town with all rooms facing Pacific.,"Ocean-view outdoor seawater bath, famed Katsuo-no-Tataki cuisine",http://www.honjin.or.jp/
Auberge Tosayama,オーベルジュ土佐山,Kochi,Kochi,onsen_ryokan,mid,Mountain restaurant-with-accommodation 30 mins from Kochi city.,"French-Japanese auberge, riverside valley views, tailor-made kaiseki",https://www.auberge-tosayama.jp/
KAI Beppu,界 別府,Beppu,Oita,onsen_ryokan,luxury,Contemporary spin on Beppu's historic onsen town.,"All rooms ocean-view, Toji Jug Band plays bath bowls, footbaths overlooking bay",https://hoshinoresorts.com/en/hotels/kaibeppu/
RISONARE Kohamajima,リゾナーレ小浜島,Taketomi,Okinawa,resort,upscale,All-suite private-beach resort on remote coral island.,"60 villa-style rooms over 53m², manta-ray waters, star-filled skies, lagoon pools",https://hoshinoresorts.com/en/hotels/risonarekohamajima/
Yufuin Sanso Waremokou,湯布院 山荘 吾亦紅,Yufu,Oita,onsen_ryokan,upscale,Pet-friendly hilltop ryokan with Mt Yufu views.,Every room has three source-fed baths plus private family rotenburo,https://www.waremokou.com/
Kurokawa Onsen Okunoyu,黒川温泉 奥の湯,Minamioguni,Kumamoto,onsen_ryokan,upscale,Classic forest ryokan in Kurokawa Onsen village.,"24-hour access to variety of baths, open-air pools and saunas with valley views",https://www.okunoyu.com/
Kurokawa Onsen Yamabiko Ryokan,黒川温泉 山彦旅館,Minamioguni,Kumamoto,onsen_ryokan,mid,Rustic riverside inn home to Kurokawa's largest open-air bath Senninburo.,"Six free private baths including 150cm-deep tachiyu, all open 24h",https://yamabiko-ryokan.com/
Hotel Il Palazzo,ホテル・イル・パラッツォ,Fukuoka,Fukuoka,heritage_hotel,upscale,"Japan's first design hotel 1989 by Aldo Rossi, renovated by Uchida Design.","Post-modern red façade, Grande Floor lounge, steps from Nakasu yatai stalls",https://www.hotel-il-palazzo.com/
Garden Terrace Nagasaki Hotel & Resort,ガーデンテラス長崎ホテル＆リゾート,Nagasaki,Nagasaki,resort,upscale,Hillside resort overlooking Nagasaki Harbour.,"All rooms ocean-view facing world's new three great night views, 3 outdoor pools",https://www.gt-nagasaki.jp/
Mifuneyama Rakuen Hotel,御船山楽園ホテル,Takeo,Saga,onsen_ryokan,upscale,"Heritage hotel at foot of Mt Mifune in 150,000-tsubo garden created by Lord Nabeshima.","teamLab Ruins and Heritage art installation in onsen ruins, private rotenburo",http://www.mifuneyama.co.jp/
SEA CRUISE GLAMPING Kumamoto Amakusa,SEA CRUISE GLAMPING熊本天草,Kamiamakusa,Kumamoto,glamping,mid,Secluded bay-front glamping limited to nine groups daily.,"Dome tents with full kitchens, Amakusa BBQ ingredients, emerald-green sea views",https://en.kumamoto-glamping.com/
IKI RETREAT by Onko Chishin,IKI RETREAT by 温故知新,Iki,Nagasaki,design_hotel,luxury,Design Hotels member spa ryokan on Iki Island.,"All rooms with private open-air baths fed by natural hot spring, Michelin Guide 5-Red Pavilion",https://iki-retreat.com/
